,profit,loss
319,12.0,8.0
320,9.0,11.0
321,8.0,10.0
322,9.0,10.0
323,12.0,8.0
324,6.0,11.0
325,4.0,19.0
326,4.0,12.0
327,11.0,12.0
328,8.0,16.0
329,13.0,7.0
330,11.0,9.0
331,3.0,18.0
332,6.0,19.0
333,7.0,9.0
334,3.0,13.0
335,16.0,8.0
336,9.0,10.0
337,7.0,33.0
338,4.0,94.0
339,5.0,184.0
340,3.0,216.0
341,5.0,150.0
342,9.0,129.0
343,6.0,156.0
344,11.0,150.0
345,12.0,71.0
346,5.0,84.0
347,4.0,82.0
348,6.0,68.0
349,6.0,85.0
350,8.0,75.0
351,6.0,40.0
352,9.0,20.0
353,7.0,23.0
354,16.0,10.0
355,11.0,13.0
356,14.0,12.0
357,27.0,9.0
358,31.0,8.0
359,8.0,27.0
360,7.0,46.0
361,10.0,26.0
362,21.0,10.0
363,19.0,15.0
364,63.0,2.0
365,114.0,2.0
366,65.0,3.0
367,110.0,3.0
368,135.0,2.0
369,150.0,3.0
370,151.0,3.0
371,84.0,4.0
372,67.0,5.0
373,114.0,4.0
374,170.0,5.0
375,48.0,4.0
376,64.0,4.0
377,55.0,4.0
378,40.0,7.0
379,38.0,4.0
380,22.0,7.0
381,15.0,8.0
382,19.0,6.0
383,17.0,6.0
384,6.0,9.0
385,8.0,8.0
386,3.0,17.0
387,7.0,19.0
388,3.0,28.0
389,10.0,17.0
390,5.0,15.0
391,6.0,17.0
392,4.0,25.0
393,6.0,27.0
394,3.0,36.0
395,1.0,68.0
396,4.0,31.0
397,3.0,49.0
398,1.0,61.0
399,4.0,58.0
400,4.0,74.0
401,10.0,56.0
402,15.0,42.0
403,11.0,59.0
404,8.0,84.0
405,12.0,54.0
406,9.0,73.0
407,13.0,54.0
408,19.0,47.0
409,19.0,39.0
410,32.0,31.0
411,41.0,30.0
412,20.0,34.0
413,18.0,55.0
414,21.0,45.0
415,30.0,34.0
416,49.0,14.0
417,46.0,26.0
418,60.0,20.0
419,53.0,29.0
420,77.0,17.0
421,70.0,22.0
422,57.0,31.0
