open,high,low,close,volume,vwap,timestamp,transactions,otc
150.23,151.68,149.09,150.19,92202535.0,150.2473,1629172800000,624238,
149.8,150.72,146.15,146.36,86285490.0,148.2985,1629259200000,647599,
145.03,148.0,144.5,146.7,86753154.0,146.4409,1629345600000,639427,
147.44,148.5,146.78,148.19,60249630.0,147.8157,1629432000000,413517,
148.31,150.19,147.89,149.71,60105710.0,149.4893,1629691200000,428947,
149.45,150.86,149.15,149.62,48605228.0,149.9034,1629777600000,370055,
149.81,150.32,147.8,148.36,58691297.0,148.5982,1629864000000,460865,
148.35,149.12,147.51,147.54,48597195.0,148.1147,1629950400000,382720,
147.48,148.75,146.83,148.6,54858888.0,148.1201,1630036800000,405190,
149.0,153.49,148.61,153.12,90756723.0,152.1466,1630296000000,659666,
152.66,152.8,151.29,151.83,85962417.0,152.0192,1630382400000,534512,
152.83,154.98,152.34,152.51,80207311.0,153.7673,1630468800000,593508,
153.87,154.72,152.4,153.65,71171317.0,153.6101,1630555200000,519974,
153.76,154.63,153.09,154.3,57866066.0,154.0218,1630641600000,431686,
154.97,157.26,154.39,156.69,83620937.0,156.1841,1630987200000,628035,
156.98,157.04,153.975,155.11,74396207.0,155.1093,1631073600000,598135,
155.49,156.11,153.95,154.07,57305730.0,154.8505,1631160000000,469366,
155.0,155.48,148.7,148.97,140829235.0,150.9988,1631246400000,1168239,
150.63,151.42,148.75,149.55,104246371.0,149.6982,1631505600000,760230,
150.35,151.07,146.91,148.12,112148523.0,148.8369,1631592000000,808779,
148.56,149.44,146.37,149.03,84825078.0,148.0322,1631678400000,635894,
148.44,148.97,147.221,148.79,67981149.0,148.151,1631764800000,501847,
148.82,148.82,145.76,146.06,129840322.0,146.6992,1631851200000,713537,
143.8,144.84,141.27,142.94,123462362.0,142.7526,1632110400000,1022141,
143.93,144.6,142.78,143.43,75833962.0,143.74,1632196800000,578041,
144.45,146.43,143.7001,145.85,76404341.0,145.4092,1632283200000,548480,
146.65,147.08,145.64,146.83,64727170.0,146.6924,1632369600000,472238,
145.66,147.4701,145.56,146.92,53475569.0,146.4928,1632456000000,400154,
145.47,145.96,143.82,145.37,74150726.0,145.1074,1632715200000,529650,
143.25,144.75,141.69,141.91,108955840.0,142.6723,1632801600000,823805,
142.47,144.45,142.03,142.83,73592044.0,143.3984,1632888000000,528983,
143.66,144.378,141.28,141.5,90816408.0,142.4016,1632974400000,660868,
141.9,142.92,139.1101,142.65,94606681.0,141.1056,1633060800000,730084,
141.76,142.21,138.27,139.14,98322008.0,139.2908,1633320000000,828320,
139.49,142.24,139.36,141.11,80861062.0,140.9927,1633406400000,562855,
139.47,142.15,138.37,142.0,82821118.0,140.3828,1633492800000,610961,
143.06,144.215,142.72,143.29,61732655.0,143.6657,1633579200000,450794,
144.03,144.1781,142.56,142.9,59892052.0,143.1747,1633665600000,423540,
142.27,144.81,141.81,142.81,63952219.0,143.6675,1633924800000,399220,
143.23,143.25,141.0401,141.51,73035859.0,141.8587,1634011200000,526042,
141.235,141.4,139.2,140.91,78762121.0,140.3071,1634097600000,600890,
142.11,143.88,141.51,143.76,69891600.0,143.2173,1634184000000,447186,
143.77,144.895,143.51,144.84,67642684.0,144.3214,1634270400000,429707,
143.445,146.84,143.16,146.55,85389174.0,145.4235,1634529600000,544217,
